Grapheme	Class	Left	Right	HTML	UNICODE
%3=	DIA			&#x333;	\u0333
%4=	DIA			&#x333;	\u0333
%6}	DIA			&#x32f;	\u032F
%7}	DIA			&#x32f;	\u032F
%8}	DIA			&#x32f;	\u032F
%9}	DIA			&#x0311;	\u0311
%1}	DIA			&#x0311;	\u0311
%2}	DIA			&#x0311;	\u0311
%3}	DIA			&#x0311;	\u0311
%4}	DIA			&#x0311;	\u0311
%0}	DIA			&#x32f;	\u032F
%6'	DIA			&#x31b;	\u031B
%7'	DIA			&#x31b;	\u031B
%8'	DIA			&#x31b;	\u031B
%1'	DIA			&#x31b;	\u031B
%2'	DIA			&#x31b;	\u031B
%3'	DIA			&#x31b;	\u031B
%4'	DIA			&#x31b;	\u031B
#cc	TAG			<em>	#cc
#e	TAG			</em>	#e
##a	TAG			<sup>	
#a	TAG			</sup>	\u0350
##b	TAG			<sub>	
#b	TAG			</sub>	\u0355
 	SPACE			 	 
1	NUM			1	1
2	NUM			2	2
3	NUM			3	3
4	NUM			4	4
5	NUM			5	5
6	NUM			6	6
7	NUM			7	7
8	NUM			8	8
9	NUM			9	9
0	NUM			0	0
$A				A	A
$B				B	B
$C				C	C
$D				D	D
$E				E	E
$F				F	F
$G				G	G
$H				H	H
$I				I	I
$J				J	J
$K				K	K
$L				L	L
$M				M	M
$N				N	N
$O				O	O
$P				P	P
$Q				Q	Q
$R				R	R
$S				S	S
$T				T	T
$U				U	U
$V				V	V
$W				W	W
$X				X	X
$Y				Y	Y
$Z				Z	Z
%41				&#xb9;	\u00B9
%42				&#xb2;	\u00B2
%43				&#xb3;	\u00B3
%44				&#x2074;	\u2074
%45				&#x2075;	\u2075
%46				&#x2076;	\u2076
%47				&#x2077;	\u2077
%48				&#x2078;	\u2078
%49				&#x2079;	\u2079
